,target_azimuth,target_elevation,measurement_azimuth,measurement_elevation,center_frequency,psd_bandwidth,timestamp,frequency_start,frequency_stop,frequency_step,samples,psd_0,psd_1,psd_2,psd_3,psd_4,psd_5,psd_6,psd_7,psd_8,psd_9,psd_10,psd_11,psd_12,psd_13,psd_14,psd_15,psd_min,psd_max,psd_mean
0,315.5,-8.5,315.5,-8.0,1250000000.0,250000.0,2023-03-03 17:01:28,1248000000.0,1252000000.0,250000.0,4000440,-73.67754,-72.431984,-71.52345,-71.175156,-70.918,-70.86713,-70.887115,-70.826225,-70.70264,-70.68314,-70.90567,-71.22808,-71.4834,-71.74575,-71.93114,-72.591125,-73.67754,-70.68314,-71.47359656249999
1,316.5,-8.5,316.5,-9.0,1250000000.0,250000.0,2023-03-03 17:01:39,1248000000.0,1252000000.0,250000.0,4000440,-73.99879,-72.939995,-71.95893,-71.53067,-71.2578,-71.181046,-71.08166,-71.01495,-70.9068,-70.89055,-71.062775,-71.33095,-71.528786,-71.728714,-71.98529,-72.725555,-73.99879,-70.89055,-71.6952038125
2,317.5,-8.5,317.5,-8.5,1250000000.0,250000.0,2023-03-03 17:01:48,1248000000.0,1252000000.0,250000.0,4000440,-74.23249,-73.40197,-72.0878,-71.50923,-71.269714,-71.252144,-71.05499,-70.99446,-70.90311,-70.91293,-71.06183,-71.30556,-71.498886,-71.58774,-71.90851,-72.674225,-74.23249,-70.90311,-71.7284743125
3,318.5,-8.5,318.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:00,1248000000.0,1252000000.0,250000.0,4000440,-73.98861,-73.81636,-71.157394,-70.23731,-70.08136,-70.276115,-69.9767,-69.88677,-69.87753,-69.87704,-70.15472,-70.280464,-70.511734,-70.4388,-70.924385,-71.672585,-73.98861,-69.87704,-70.8223673125
4,319.5,-8.5,319.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:12,1248000000.0,1252000000.0,250000.0,4000440,-74.06566,-73.399635,-71.35924,-70.64448,-70.410225,-70.48954,-70.38098,-70.27195,-70.35788,-70.35246,-70.58097,-70.63368,-71.063515,-71.07016,-71.35427,-72.205215,-74.06566,-70.27195,-71.16499125
5,320.5,-8.5,320.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:24,1248000000.0,1252000000.0,250000.0,4000440,-73.80443,-73.949425,-70.12285,-68.905495,-68.750336,-68.69412,-68.84622,-68.708786,-69.03106,-69.00134,-69.43116,-69.45975,-70.04632,-70.057655,-70.30855,-71.334366,-73.949425,-68.69412,-70.0282414375
6,321.5,-8.5,321.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:35,1248000000.0,1252000000.0,250000.0,4000440,-73.97397,-73.73067,-70.52483,-69.54953,-69.53973,-69.2618,-69.36876,-69.09315,-69.38735,-69.37916,-69.96839,-70.019615,-70.33591,-70.62737,-70.80127,-71.791756,-73.97397,-69.09315,-70.45957881250001
7,322.5,-8.5,322.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:44,1248000000.0,1252000000.0,250000.0,4000440,-74.0143,-74.359406,-70.0514,-68.7235,-68.86461,-68.294395,-68.48145,-68.145355,-68.32433,-68.33468,-69.0906,-69.314285,-69.5155,-69.96884,-70.15689,-71.35711,-74.359406,-68.145355,-69.81229068750001
8,323.5,-8.5,323.5,-8.5,1250000000.0,250000.0,2023-03-03 17:02:56,1248000000.0,1252000000.0,250000.0,4000440,-74.22813,-74.324745,-70.66019,-69.230576,-69.40112,-68.81262,-68.90306,-68.674385,-68.623825,-68.77961,-69.241234,-69.62943,-69.73127,-70.269615,-70.481766,-71.731094,-74.324745,-68.623825,-70.17016687499999
9,324.5,-8.5,324.5,-8.5,1250000000.0,250000.0,2023-03-03 17:03:07,1248000000.0,1252000000.0,250000.0,4000440,-74.326485,-74.73276,-70.675995,-69.01261,-69.25016,-68.750656,-68.5941,-68.40616,-68.144485,-68.39318,-68.85176,-69.31261,-69.1852,-69.82141,-70.16845,-71.49886,-74.73276,-68.144485,-69.9453050625
