,target_azimuth,target_elevation,measurement_azimuth,measurement_elevation,center_frequency,psd_bandwidth,timestamp,frequency_start,frequency_stop,frequency_step,samples,psd_0,psd_1,psd_2,psd_3,psd_4,psd_5,psd_6,psd_7,psd_8,psd_9,psd_10,psd_11,psd_12,psd_13,psd_14,psd_15,psd_min,psd_max,psd_mean
0,167.88274326518356,11.739748472695084,168.0,11.5,1250000000.0,250000.0,2023-03-01 11:40:37,1248000000.0,1252000000.0,250000.0,4000440,-74.346466,-73.134605,-72.4097,-72.258995,-72.14963,-72.07301,-72.02518,-71.97917,-71.95268,-71.99083,-72.03176,-72.11074,-72.21561,-72.34739,-72.53586,-73.26453,-74.346466,-71.95268,-72.42663474999999
1,171.88274326518356,11.739748472695084,172.0,11.5,1250000000.0,250000.0,2023-03-01 11:40:55,1248000000.0,1252000000.0,250000.0,4000440,-74.306335,-73.15994,-72.43401,-72.26025,-72.15497,-72.0601,-71.99624,-71.95099,-71.90677,-71.93651,-71.984245,-72.052376,-72.14665,-72.26657,-72.44316,-73.18363,-74.306335,-71.90677,-72.390171625
2,175.88274326518356,11.739748472695084,176.0,11.5,1250000000.0,250000.0,2023-03-01 11:41:11,1248000000.0,1252000000.0,250000.0,4000440,-74.36037,-73.24403,-72.51483,-72.34915,-72.2341,-72.137535,-72.06267,-72.015015,-71.96512,-71.9904,-72.03109,-72.086975,-72.17242,-72.280846,-72.43642,-73.18173,-74.36037,-71.96512,-72.44141881249999
3,179.88274326518356,11.739748472695084,180.0,11.5,1250000000.0,250000.0,2023-03-01 11:41:30,1248000000.0,1252000000.0,250000.0,4000440,-74.38674,-73.27382,-72.553116,-72.375244,-72.25884,-72.16051,-72.078606,-72.01513,-71.98102,-72.010025,-72.044685,-72.10615,-72.174484,-72.285286,-72.45368,-73.19398,-74.38674,-71.98102,-72.45945725
4,183.88274326518356,11.739748472695084,184.0,11.5,1250000000.0,250000.0,2023-03-01 11:41:44,1248000000.0,1252000000.0,250000.0,4000440,-74.44438,-73.354965,-72.63577,-72.46102,-72.33063,-72.23708,-72.16743,-72.099686,-72.04361,-72.05909,-72.08671,-72.14177,-72.22682,-72.34046,-72.51085,-73.23831,-74.44438,-72.04361,-72.52366131249998
5,187.88274326518356,11.739748472695084,188.0,11.5,1250000000.0,250000.0,2023-03-01 11:41:57,1248000000.0,1252000000.0,250000.0,4000440,-74.48453,-73.38579,-72.65902,-72.49135,-72.36455,-72.26676,-72.188614,-72.13919,-72.100845,-72.117905,-72.15339,-72.21156,-72.30222,-72.40142,-72.562225,-73.29015,-74.48453,-72.100845,-72.5699699375
6,191.88274326518356,11.739748472695084,192.0,11.5,1250000000.0,250000.0,2023-03-01 11:42:15,1248000000.0,1252000000.0,250000.0,4000440,-74.56792,-73.42652,-72.706406,-72.53885,-72.42631,-72.34679,-72.27398,-72.20784,-72.16782,-72.20414,-72.24646,-72.303154,-72.386116,-72.4952,-72.668465,-73.41202,-74.56792,-72.16782,-72.64862443749999
7,195.88274326518356,11.739748472695084,196.0,11.5,1250000000.0,250000.0,2023-03-01 11:42:34,1248000000.0,1252000000.0,250000.0,4000440,-74.58391,-73.41592,-72.68869,-72.529816,-72.42188,-72.34176,-72.28452,-72.24174,-72.18447,-72.229935,-72.2773,-72.3462,-72.42539,-72.53918,-72.70517,-73.437904,-74.58391,-72.18447,-72.6658615625
8,199.88274326518356,11.739748472695084,200.0,11.5,1250000000.0,250000.0,2023-03-01 11:42:51,1248000000.0,1252000000.0,250000.0,4000440,-74.56354,-73.39065,-72.6746,-72.52429,-72.429214,-72.35692,-72.30335,-72.260994,-72.231995,-72.268845,-72.31391,-72.37569,-72.469055,-72.58462,-72.7411,-73.46892,-74.56354,-72.231995,-72.6848558125
9,203.88274326518356,11.739748472695084,204.0,11.5,1250000000.0,250000.0,2023-03-01 11:43:06,1248000000.0,1252000000.0,250000.0,4000440,-74.48363,-73.28143,-72.57127,-72.42463,-72.314995,-72.24315,-72.2018,-72.16463,-72.13083,-72.17856,-72.231125,-72.31217,-72.39956,-72.51852,-72.68753,-73.401924,-74.48363,-72.13083,-72.59660962500001
10,203.88274326518356,15.739748472695084,204.0,15.5,1250000000.0,250000.0,2023-03-01 11:43:29,1248000000.0,1252000000.0,250000.0,4000440,-74.49465,-73.27874,-72.56124,-72.42018,-72.32843,-72.25341,-72.20398,-72.15204,-72.12913,-72.182556,-72.23661,-72.30248,-72.394035,-72.52569,-72.69884,-73.41561,-74.49465,-72.12913,-72.59860131250001
11,199.88274326518356,15.739748472695084,199.5,15.5,1250000000.0,250000.0,2023-03-01 11:43:46,1248000000.0,1252000000.0,250000.0,4000440,-74.511986,-73.35504,-72.63255,-72.47285,-72.37604,-72.302124,-72.2439,-72.188484,-72.15195,-72.19754,-72.24263,-72.30111,-72.393555,-72.516914,-72.671974,-73.40185,-74.511986,-72.15195,-72.62253106249999
12,195.88274326518356,15.739748472695084,195.5,15.5,1250000000.0,250000.0,2023-03-01 11:44:07,1248000000.0,1252000000.0,250000.0,4000440,-74.51483,-73.38834,-72.65718,-72.48653,-72.37224,-72.2777,-72.22876,-72.19313,-72.14307,-72.18253,-72.23367,-72.291214,-72.3832,-72.498825,-72.651985,-73.365524,-74.51483,-72.14307,-72.6167955
13,191.88274326518356,15.739748472695084,191.5,15.5,1250000000.0,250000.0,2023-03-01 11:44:27,1248000000.0,1252000000.0,250000.0,4000440,-74.50267,-73.407524,-72.67705,-72.503624,-72.3978,-72.30447,-72.2393,-72.184265,-72.13569,-72.16017,-72.19695,-72.25711,-72.3306,-72.440994,-72.610306,-73.33236,-74.50267,-72.13569,-72.6050551875
14,187.88274326518356,15.739748472695084,187.5,15.5,1250000000.0,250000.0,2023-03-01 11:44:42,1248000000.0,1252000000.0,250000.0,4000440,-74.46316,-73.38136,-72.652214,-72.48765,-72.362175,-72.263664,-72.19023,-72.12018,-72.07205,-72.09922,-72.12729,-72.17464,-72.25635,-72.36488,-72.50988,-73.24756,-74.46316,-72.07205,-72.5482814375
15,183.88274326518356,15.739748472695084,183.5,15.5,1250000000.0,250000.0,2023-03-01 11:45:03,1248000000.0,1252000000.0,250000.0,4000440,-74.44279,-73.37966,-72.64529,-72.462166,-72.33754,-72.22943,-72.14492,-72.07511,-72.015854,-72.035904,-72.06586,-72.115234,-72.1974,-72.307236,-72.475845,-73.21158,-74.44279,-72.015854,-72.50886368749998
16,179.88274326518356,15.739748472695084,179.5,15.5,1250000000.0,250000.0,2023-03-01 11:45:18,1248000000.0,1252000000.0,250000.0,4000440,-74.41545,-73.322075,-72.58055,-72.399605,-72.274086,-72.17472,-72.08871,-72.04097,-71.994774,-72.00731,-72.04186,-72.111885,-72.189064,-72.295135,-72.46684,-73.20881,-74.41545,-71.994774,-72.47574025
17,175.88274326518356,15.739748472695084,175.5,15.5,1250000000.0,250000.0,2023-03-01 11:45:37,1248000000.0,1252000000.0,250000.0,4000440,-74.26553,-73.190605,-72.46214,-72.27963,-72.13514,-72.0321,-71.95425,-71.88985,-71.84439,-71.84262,-71.87181,-71.92274,-72.00238,-72.12085,-72.29106,-73.03239,-74.26553,-71.84262,-72.3210928125
18,171.88274326518356,15.739748472695084,171.5,15.5,1250000000.0,250000.0,2023-03-01 11:45:55,1248000000.0,1252000000.0,250000.0,4000440,-74.2437,-73.159805,-72.43096,-72.24661,-72.10876,-72.012474,-71.93297,-71.866646,-71.83763,-71.839836,-71.85765,-71.91688,-72.01412,-72.12844,-72.303024,-73.04035,-74.2437,-71.83763,-72.3087409375
19,167.88274326518356,15.739748472695084,167.5,15.5,1250000000.0,250000.0,2023-03-01 11:46:15,1248000000.0,1252000000.0,250000.0,4000440,-74.26863,-73.120575,-72.386215,-72.20845,-72.09178,-71.99316,-71.9197,-71.882545,-71.8637,-71.885284,-71.926155,-71.981285,-72.0683,-72.19384,-72.376816,-73.10979,-74.26863,-71.8637,-72.3297640625
20,167.88274326518356,19.739748472695084,167.5,19.5,1250000000.0,250000.0,2023-03-01 11:46:39,1248000000.0,1252000000.0,250000.0,4000440,-74.23781,-73.06372,-72.32665,-72.15448,-72.05351,-71.9587,-71.893585,-71.846855,-71.83277,-71.84503,-71.89561,-71.97071,-72.06099,-72.185425,-72.37078,-73.10988,-74.23781,-71.83277,-72.3004065625
21,171.88274326518356,19.739748472695084,172.0,19.5,1250000000.0,250000.0,2023-03-01 11:47:00,1248000000.0,1252000000.0,250000.0,4000440,-74.25239,-73.18826,-72.44065,-72.262566,-72.13535,-72.01821,-71.93711,-71.86874,-71.8148,-71.820175,-71.8586,-71.91507,-72.00301,-72.1055,-72.26306,-73.02011,-74.25239,-71.8148,-72.3064750625
22,175.88274326518356,19.739748472695084,176.0,19.5,1250000000.0,250000.0,2023-03-01 11:47:19,1248000000.0,1252000000.0,250000.0,4000440,-74.346756,-73.27928,-72.54121,-72.357864,-72.226036,-72.12201,-72.04797,-71.989395,-71.94052,-71.95115,-71.98639,-72.03788,-72.12491,-72.232,-72.406,-73.141045,-74.346756,-71.94052,-72.420651
23,179.88274326518356,19.739748472695084,180.0,19.5,1250000000.0,250000.0,2023-03-01 11:47:37,1248000000.0,1252000000.0,250000.0,4000440,-74.31153,-73.2659,-72.52604,-72.33237,-72.1781,-72.07388,-71.978165,-71.8925,-71.84069,-71.84025,-71.874916,-71.9433,-72.02854,-72.1341,-72.299385,-73.04707,-74.31153,-71.84025,-72.347921
24,183.88274326518356,19.739748472695084,184.0,19.5,1250000000.0,250000.0,2023-03-01 11:47:52,1248000000.0,1252000000.0,250000.0,4000440,-74.347755,-73.312325,-72.573074,-72.39219,-72.23932,-72.12477,-72.04654,-71.96651,-71.896454,-71.91717,-71.9331,-71.98175,-72.066475,-72.16979,-72.339226,-73.077255,-74.347755,-71.896454,-72.39898149999999
25,187.88274326518356,19.739748472695084,188.0,19.5,1250000000.0,250000.0,2023-03-01 11:48:11,1248000000.0,1252000000.0,250000.0,4000440,-74.35258,-73.26559,-72.5223,-72.33641,-72.210686,-72.10791,-72.034966,-71.96848,-71.90427,-71.92672,-71.97012,-72.02486,-72.10191,-72.22352,-72.39299,-73.1261,-74.35258,-71.90427,-72.40433825
26,191.88274326518356,19.739748472695084,192.0,19.5,1250000000.0,250000.0,2023-03-01 11:48:32,1248000000.0,1252000000.0,250000.0,4000440,-74.42299,-73.30367,-72.56908,-72.397705,-72.279564,-72.18654,-72.11684,-72.05021,-71.98604,-72.01621,-72.06867,-72.12037,-72.20761,-72.32485,-72.48447,-73.23096,-74.42299,-71.98604,-72.4853611875
27,195.88274326518356,19.739748472695084,196.0,19.5,1250000000.0,250000.0,2023-03-01 11:48:49,1248000000.0,1252000000.0,250000.0,4000440,-74.60882,-73.47528,-72.59533,-72.31736,-72.21077,-72.10235,-72.09157,-72.048935,-72.08197,-72.13027,-72.20828,-72.28585,-72.35079,-72.48929,-72.666756,-73.43707,-74.60882,-72.048935,-72.56879318749999
28,199.88274326518356,19.739748472695084,200.0,19.5,1250000000.0,250000.0,2023-03-01 11:49:02,1248000000.0,1252000000.0,250000.0,4000440,-74.49649,-73.34691,-72.63994,-72.489845,-72.389366,-72.295815,-72.241356,-72.19734,-72.15922,-72.19083,-72.243,-72.304474,-72.39442,-72.50337,-72.66745,-73.38333,-74.49649,-72.15922,-72.62144724999999
29,203.88274326518356,19.739748472695084,204.0,19.5,1250000000.0,250000.0,2023-03-01 11:49:18,1248000000.0,1252000000.0,250000.0,4000440,-74.532974,-73.40432,-72.59233,-72.39874,-72.28627,-72.18777,-72.129395,-72.0769,-72.06128,-72.11155,-72.1708,-72.2439,-72.33735,-72.44965,-72.629234,-73.36324,-74.532974,-72.06128,-72.56098143749999
30,203.88274326518356,23.739748472695084,204.0,23.5,1250000000.0,250000.0,2023-03-01 11:49:41,1248000000.0,1252000000.0,250000.0,4000440,-74.49221,-73.34665,-72.62431,-72.47344,-72.37426,-72.285675,-72.2248,-72.18235,-72.14807,-72.19008,-72.22461,-72.280014,-72.369354,-72.48085,-72.64092,-73.36089,-74.49221,-72.14807,-72.6061551875
31,199.88274326518356,23.739748472695084,199.5,23.5,1250000000.0,250000.0,2023-03-01 11:49:55,1248000000.0,1252000000.0,250000.0,4000440,-74.47859,-73.350746,-72.6306,-72.47737,-72.367004,-72.283966,-72.22146,-72.17788,-72.1371,-72.17277,-72.21828,-72.26938,-72.35534,-72.473656,-72.62904,-73.33136,-74.47859,-72.1371,-72.59840887499999
32,195.88274326518356,23.739748472695084,195.5,23.5,1250000000.0,250000.0,2023-03-01 11:50:08,1248000000.0,1252000000.0,250000.0,4000440,-74.4935,-73.36205,-72.62393,-72.462875,-72.357475,-72.2751,-72.202446,-72.14721,-72.10279,-72.12867,-72.18708,-72.25287,-72.33189,-72.448265,-72.62154,-73.33911,-74.4935,-72.10279,-72.58355006250002
33,191.88274326518356,23.739748472695084,191.5,23.5,1250000000.0,250000.0,2023-03-01 11:50:22,1248000000.0,1252000000.0,250000.0,4000440,-74.423065,-73.321304,-72.58601,-72.403625,-72.281815,-72.19133,-72.12083,-72.05886,-72.016266,-72.040924,-72.08816,-72.14995,-72.226036,-72.33049,-72.502174,-73.23485,-74.423065,-72.016266,-72.4984805625
34,187.88274326518356,23.739748472695084,187.5,23.5,1250000000.0,250000.0,2023-03-01 11:50:40,1248000000.0,1252000000.0,250000.0,4000440,-74.40753,-73.31828,-72.5808,-72.39936,-72.27151,-72.16285,-72.08484,-72.02633,-71.98195,-71.99363,-72.03158,-72.06868,-72.1388,-72.25334,-72.430145,-73.18408,-74.40753,-71.98195,-72.45835656249999
35,183.88274326518356,23.739748472695084,183.5,23.5,1250000000.0,250000.0,2023-03-01 11:50:56,1248000000.0,1252000000.0,250000.0,4000440,-74.36586,-73.315926,-72.575134,-72.39157,-72.25303,-72.14079,-72.048325,-71.97357,-71.91428,-71.93076,-71.95489,-72.000595,-72.08142,-72.20355,-72.364975,-73.10031,-74.36586,-71.91428,-72.4134365625
36,179.88274326518356,23.739748472695084,179.5,23.5,1250000000.0,250000.0,2023-03-01 11:51:18,1248000000.0,1252000000.0,250000.0,4000440,-74.3663,-73.30108,-72.56568,-72.37572,-72.24306,-72.13396,-72.0436,-71.96738,-71.9175,-71.94426,-71.96967,-72.020424,-72.12099,-72.23087,-72.39082,-73.13257,-74.3663,-71.9175,-72.42024275
37,175.88274326518356,23.739748472695084,175.5,23.5,1250000000.0,250000.0,2023-03-01 11:51:36,1248000000.0,1252000000.0,250000.0,4000440,-74.29906,-73.25416,-72.52096,-72.33451,-72.19057,-72.08404,-71.99581,-71.9187,-71.857956,-71.86659,-71.88948,-71.94631,-72.02125,-72.13814,-72.30086,-73.03304,-74.29906,-71.857956,-72.35321475
